Title,latitude,longitude
974,45.75,-110.23
975,45.75,-112.18
976,45.06,-112.81
977,46.08,-111.91
978,43.33,-108.29
979,44.0,-108.38
980,44.0,-108.35
981,43.03,-108.78
982,48.94,-116.42
983,45.24,-111.75
984,48.41,-117.95
985,46.7,-111.21
986,43.0,-108.63
987,43.33,-108.29
988,43.32,-108.4
989,45.38,-109.26
990,43.3,-108.43
991,44.01,-107.93
992,44.12,-107.92
993,45.23,-108.94
994,44.16,-107.54
995,47.22,-109.94
996,44.01,-108.37
997,43.37,-109.21
998,44.07,-107.52
999,45.19,-108.93
1000,48.89,-119.08
1001,47.51,-114.2
1002,47.15,-114.03
1003,48.27,-114.3
1004,45.05,-116.04
1005,47.83,-116.97
1006,44.31,-116.1
1007,47.13,-114.8
1008,48.45,-116.56
1009,48.15,-117.72
1010,48.39,-118.44
1011,46.39,-115.84
1012,46.48,-114.17
1013,48.6,-116.42
1014,47.26,-110.13
1015,48.74,-118.68
1016,46.38,-114.16
1017,48.83,-118.6
1018,46.96,-113.38
1019,46.09,-112.6
1020,46.04,-112.73
1021,45.22,-112.8
1022,45.96,-112.78
1023,48.84,-116.27
1024,47.19,-116.68
1025,47.1,-110.3
1026,46.56,-110.28
1027,46.24,-112.08
1028,47.74,-117.24
1029,44.69,-115.95
1030,47.11,-116.66
1031,48.63,-118.68
1032,44.98,-116.25
1033,44.98,-116.25
1034,47.01,-116.26
1035,44.84,-113.24
1036,46.45,-113.94
1037,48.1,-112.56
1038,46.97,-112.61
1039,46.16,-112.38
1040,45.23,-113.34
1041,47.03,-116.34
1042,48.02,-117.0
1043,45.35,-113.38
1044,47.21,-111.78
1045,46.48,-112.01
1046,43.73,-108.55
1047,47.05,-114.81
1048,46.91,-113.13
1049,43.68,-108.42
1050,43.73,-108.65
1051,46.44,-113.95
1052,43.73,-108.63
1053,43.71,-108.49
1054,43.73,-108.66
1055,43.58,-108.42
1056,43.44,-109.17
1057,45.56,-112.76
1058,46.48,-112.72
1059,46.67,-113.16
1060,46.6,-113.23
1061,46.66,-116.82
1062,46.61,-113.18
1063,48.31,-117.25
1064,48.28,-117.23
1065,43.51,-110.86
1066,45.63,-111.13
1067,48.29,-117.36
1068,47.41,-114.08
1069,44.7,-116.07
1070,44.87,-116.05
1071,43.43,-110.78
1072,46.42,-114.18
1073,45.49,-111.29
1074,45.9,-112.51
1075,48.03,-112.56
1076,46.21,-113.39
1077,43.18,-111.58
1078,44.55,-115.93
1079,47.6,-110.47
1080,43.56,-110.84
1081,46.89,-116.76
1082,46.89,-116.75
1083,46.52,-116.71
1084,46.66,-116.82
1085,46.69,-116.93
1086,47.23,-110.26
1087,47.42,-116.87
1088,48.48,-119.4
1089,43.74,-115.95
1090,48.56,-118.16
1091,47.46,-116.72
1092,47.76,-117.19
1093,48.01,-117.67
1094,48.24,-118.96
1095,48.49,-117.84
1096,48.44,-118.18
1097,47.7,-117.07
1098,48.5,-118.23
1099,46.54,-116.45
1100,43.54,-115.82
1101,43.63,-106.9
1102,43.6,-107.43
1103,44.04,-107.6
1104,43.59,-107.43
1105,47.96,-118.57
1106,46.73,-116.87
1107,48.03,-118.64
1108,47.67,-114.17
1109,47.04,-114.74
1110,48.34,-114.19
1111,44.11,-111.32
1112,47.82,-117.26
1113,48.16,-114.71
1114,46.63,-116.52
1115,46.46,-115.83
1116,47.02,-116.86
1117,48.69,-117.53
1118,47.4,-114.25
1119,47.53,-117.01
1120,47.63,-116.84
1121,48.39,-117.33
1122,47.51,-114.64
1123,47.54,-114.34
1124,48.75,-119.26
1125,42.34,-111.26
1126,42.19,-111.21
1127,46.49,-114.02
1128,43.14,-110.16
1129,42.31,-111.29
1130,42.02,-111.12
1131,47.89,-114.53
1132,47.87,-112.52
1133,46.18,-113.19
1134,48.3,-116.87
1135,45.47,-113.58
1136,48.08,-116.82
1137,48.03,-114.8
1138,45.93,-110.52
1139,46.19,-109.15
1140,45.95,-110.58
1141,46.56,-115.75
1142,45.94,-113.13
1143,46.97,-116.1
1144,45.53,-111.18
1145,47.12,-113.27
1146,46.06,-110.13
1147,45.39,-109.2
1148,47.04,-109.13
1149,46.04,-110.62
1150,46.71,-112.18
1151,45.66,-110.62
1152,47.18,-110.26
1153,48.81,-112.85
1154,46.52,-113.33
1155,47.2,-109.72
1156,48.36,-109.66
1157,44.97,-113.02
1158,45.39,-109.01
1159,47.15,-110.16
1160,47.34,-110.14
1161,47.6,-110.08
1162,47.68,-111.78
1163,42.79,-110.93
1164,47.9,-112.34
1165,46.43,-110.37
1166,45.89,-116.04
1167,46.71,-112.69
1168,48.13,-114.42
1169,43.69,-116.05
1170,45.93,-111.73
1171,45.18,-110.93
1172,46.37,-110.43
1173,45.69,-111.18
1174,45.7,-111.45
1175,45.58,-113.57
1176,46.99,-113.13
1177,47.34,-110.44
1178,45.5,-111.4
1179,47.47,-114.84
1180,46.62,-113.34
1181,46.56,-111.54
1182,45.15,-112.39
1183,47.18,-109.04
1184,48.75,-109.05
1185,45.68,-113.43
1186,48.59,-112.32
1187,46.78,-109.92
1188,46.32,-111.04
1189,47.01,-113.09
1190,45.7,-112.73
1191,47.3,-110.33
1192,45.99,-111.66
1193,45.9,-111.76
1194,46.47,-110.2
1195,46.01,-111.68
1196,41.03,-104.08
1197,41.09,-104.06
1198,41.09,-103.88
1199,41.06,-103.9
1200,41.37,-103.75
1201,36.93,-95.29
1202,36.38,-95.73
1203,41.52,-103.54
1204,37.28,-95.83
1205,38.3,-95.13
1206,41.94,-104.83
1207,37.47,-94.1
1208,36.75,-95.21
1209,37.57,-94.46
1210,41.03,-103.39
1211,37.73,-95.58
1212,41.15,-104.4
1213,41.25,-104.04
1214,41.16,-103.43
1215,41.39,-104.01
1216,41.36,-104.32
1217,41.99,-104.76
1218,41.34,-97.46
1219,38.1,-103.99
1220,41.33,-97.49
1221,37.97,-97.81
1222,41.78,-103.43
1223,39.19,-104.03
1224,42.13,-105.18
1225,42.09,-104.87
1226,41.83,-103.57
1227,40.03,-101.59
1228,41.7,-103.3
1229,42.35,-105.14
1230,41.92,-103.79
1231,41.95,-103.86
1232,39.51,-95.29
1233,39.35,-95.17
1234,38.47,-99.56
1235,36.5,-95.85
1236,35.16,-96.33
1237,39.21,-98.46
1238,37.49,-96.31
1239,38.54,-95.17
1240,37.51,-95.22
1241,36.55,-95.84
1242,38.27,-94.16
1243,39.4,-96.02
1244,38.15,-94.46
1245,36.58,-95.87
